2018
Index;Term;Count;Df;Idf;Tf-Idf;Rel. Frequency
1;vehicle;16;353;-1;353.0;0.00011032339443520048
2;automotive;6;475;-1;475.0;0.00014845215965076552

2019
Index;Term;Count;Df;Idf;Tf-Idf;Rel. Frequency
1;vehicle;15;365;-1;365.0;0.00012085372395022814
2;automotive;8;477;-1;477.0;0.00015793760636783239

